Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/10/2016 12:06:00 AM,5/10/2016 11:59:59 PM,:23:53:59
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/4/2016 3:50:00 AM,5/4/2016 1:45:00 PM,:09:55:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/1/2016 8:40:00 PM,5/2/2016 10:15:00 AM,:13:35:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/1/2016 12:00:00 AM,5/1/2016 9:50:00 AM,:09:50:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,4/30/2016 5:05:00 PM,4/30/2016 11:59:59 PM,:06:54:59
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,4/28/2016 1:30:00 AM,4/28/2016 7:45:00 AM,:06:15:00
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,7/24/2016 6:59:17 PM,7/24/2016 8:16:21 PM,:01:17:04
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,7/23/2016 10:35:21 PM,7/24/2016 2:29:37 AM,:03:54:16
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,7/23/2016 7:19:57 PM,7/23/2016 9:04:17 PM,:01:44:20
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,7/21/2016 9:39:05 PM,7/21/2016 10:45:53 PM,:01:06:48
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,7/18/2016 12:07:33 AM,7/18/2016 1:25:29 AM,:01:17:56
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,7/13/2016 7:49:49 PM,7/13/2016 9:10:17 PM,:01:20:28
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,7/6/2016 6:15:57 AM,7/6/2016 6:50:57 AM,:00:35:00
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,7/6/2016 3:24:13 AM,7/6/2016 5:18:53 AM,:01:54:40
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,5/25/2016 7:13:05 PM,5/25/2016 7:20:01 PM,:00:06:56
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,5/13/2016 10:19:25 PM,5/13/2016 10:43:17 PM,:00:23:52
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,5/12/2016 3:54:49 AM,5/12/2016 4:13:05 AM,:00:18:16
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,5/12/2016 3:18:17 AM,5/12/2016 3:39:33 AM,:00:21:16
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,4/28/2016 3:21:29 AM,4/28/2016 4:54:09 AM,:01:32:40
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,4/28/2016 12:51:09 AM,4/28/2016 2:35:25 AM,:01:44:16
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,7/24/2016 9:16:05 PM,7/24/2016 9:17:21 PM,:00:01:16
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,7/24/2016 8:51:17 PM,7/24/2016 9:05:29 PM,:00:14:12
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,7/24/2016 8:48:37 PM,7/24/2016 8:50:41 PM,:00:02:04
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,7/24/2016 8:48:01 PM,7/24/2016 9:06:29 PM,:00:18:28
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,7/24/2016 8:44:13 PM,7/24/2016 8:47:29 PM,:00:03:16
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,7/24/2016 8:04:29 PM,7/24/2016 8:34:37 PM,:00:30:08
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,7/24/2016 8:03:53 PM,7/24/2016 8:35:13 PM,:00:31:20
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,7/24/2016 7:11:41 PM,7/24/2016 7:40:13 PM,:00:28:32
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,7/24/2016 7:11:01 PM,7/24/2016 7:40:49 PM,:00:29:48
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,7/24/2016 2:19:49 AM,7/24/2016 2:23:25 AM,:00:03:36
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,7/23/2016 10:56:01 PM,7/24/2016 2:12:41 AM,:03:16:40
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,7/23/2016 10:55:25 PM,7/24/2016 2:10:21 AM,:03:14:56
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/25/2016 7:04:37 PM,5/25/2016 7:40:01 PM,:00:35:24
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,5/25/2016 7:04:01 PM,5/25/2016 7:39:41 PM,:00:35:40
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/25/2016 6:43:25 PM,5/25/2016 6:44:41 PM,:00:01:16
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/25/2016 6:13:01 PM,5/25/2016 6:33:33 PM,:00:20:32
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,5/25/2016 6:12:29 PM,5/25/2016 6:46:25 PM,:00:33:56
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/14/2016 1:28:29 AM,5/14/2016 1:29:37 AM,:00:01:08
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,5/14/2016 1:27:49 AM,5/14/2016 1:30:09 AM,:00:02:20
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,5/14/2016 1:24:57 AM,5/14/2016 1:26:49 AM,:00:01:52
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/14/2016 1:20:37 AM,5/14/2016 1:22:41 AM,:00:02:04
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,5/13/2016 10:28:53 PM,5/14/2016 1:24:21 AM,:02:55:28
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/13/2016 10:28:21 PM,5/14/2016 1:16:29 AM,:02:48:08
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,5/12/2016 3:21:49 AM,5/12/2016 5:24:05 AM,:02:02:16
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/12/2016 3:21:09 AM,5/12/2016 5:19:57 AM,:01:58:48
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,4/28/2016 4:28:57 AM,4/28/2016 4:31:29 AM,:00:02:32
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,4/28/2016 4:20:09 AM,4/28/2016 4:21:21 AM,:00:01:12
DS-M40,Normal Ave (S),TG2,SB Chicago R,Stickney,7/24/2016 7:23:25 PM,7/25/2016 8:56:37 AM,:13:33:12
DS-M40,Normal Ave (S),TG1,SB Chicago R,Stickney,7/24/2016 7:22:25 PM,7/25/2016 8:56:37 AM,:13:34:12
DS-M40,Normal Ave (S),TG2,SB Chicago R,Stickney,7/23/2016 11:03:49 PM,7/23/2016 11:40:45 PM,:00:36:56
DS-M40,Normal Ave (S),TG1,SB Chicago R,Stickney,7/23/2016 11:03:21 PM,7/23/2016 11:42:01 PM,:00:38:40
DS-M40,Normal Ave (S),TG2,SB Chicago R,Stickney,5/25/2016 7:20:05 PM,5/25/2016 7:53:01 PM,:00:32:56
DS-M40,Normal Ave (S),TG1,SB Chicago R,Stickney,5/25/2016 7:19:29 PM,5/25/2016 7:54:25 PM,:00:34:56
DS-M40,Normal Ave (S),TG2,SB Chicago R,Stickney,5/25/2016 6:29:49 PM,5/25/2016 6:53:37 PM,:00:23:48
DS-M40,Normal Ave (S),TG1,SB Chicago R,Stickney,5/25/2016 6:28:57 PM,5/25/2016 6:54:49 PM,:00:25:52
DS-M40,Normal Ave (S),TG2,SB Chicago R,Stickney,5/13/2016 10:25:13 PM,5/13/2016 11:09:33 PM,:00:44:20
DS-M40,Normal Ave (S),TG1,SB Chicago R,Stickney,5/13/2016 10:24:37 PM,5/13/2016 11:12:21 PM,:00:47:44
DS-M40,Normal Ave (S),TG2,SB Chicago R,Stickney,5/12/2016 3:24:53 AM,5/12/2016 4:33:09 AM,:01:08:16
DS-M40,Normal Ave (S),TG1,SB Chicago R,Stickney,5/12/2016 3:24:09 AM,5/12/2016 4:36:01 AM,:01:11:52
DS-M45,14th St (E),TG1,SB Chicago R,Stickney,7/24/2016 7:02:17 PM,7/24/2016 7:54:41 PM,:00:52:24
DS-M45,14th St (E),TG1,SB Chicago R,Stickney,7/23/2016 10:47:57 PM,7/24/2016 1:28:37 AM,:02:40:40
DS-M45,14th St (E),TG1,SB Chicago R,Stickney,5/25/2016 5:56:09 PM,5/25/2016 7:39:25 PM,:01:43:16
DS-M45,14th St (E),TG1,SB Chicago R,Stickney,5/13/2016 10:17:17 PM,5/13/2016 11:09:21 PM,:00:52:04
DS-M45,14th St (E),TG1,SB Chicago R,Stickney,5/12/2016 3:12:11 AM,5/12/2016 4:31:01 AM,:01:18:50
DS-M45,14th St (E),TG1,SB Chicago R,Stickney,4/28/2016 1:15:01 AM,4/28/2016 2:13:41 AM,:00:58:40
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,7/24/2016 6:53:41 PM,7/24/2016 8:15:49 PM,:01:22:08
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,7/23/2016 10:36:45 PM,7/24/2016 3:31:09 AM,:04:54:24
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,7/23/2016 7:14:37 PM,7/23/2016 9:20:21 PM,:02:05:44
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,7/21/2016 9:38:21 PM,7/21/2016 10:27:31 PM,:00:49:10
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,7/17/2016 10:11:09 AM,7/18/2016 12:44:09 AM,:14:33:00
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,7/13/2016 7:56:49 PM,7/13/2016 8:28:33 PM,:00:31:44
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,7/6/2016 3:32:33 AM,7/6/2016 4:04:41 AM,:00:32:08
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,6/22/2016 8:59:05 PM,6/22/2016 9:58:17 PM,:00:59:12
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,6/22/2016 5:00:02 PM,6/22/2016 8:46:41 PM,:03:46:39
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,5/25/2016 7:11:21 PM,5/25/2016 7:42:51 PM,:00:31:30
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,5/25/2016 5:55:21 PM,5/25/2016 6:22:41 PM,:00:27:20
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,5/13/2016 10:17:25 PM,5/13/2016 10:45:13 PM,:00:27:48
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,5/12/2016 2:49:01 AM,5/12/2016 3:48:57 AM,:00:59:56
DS-M49,Roosevelt Rd (Roosevelt & Lumber) (W),TG1,SB Chicago R,Stickney,7/23/2016 11:01:13 PM,7/24/2016 1:45:21 AM,:02:44:08
DS-M49,Roosevelt Rd (Roosevelt & Lumber) (W),TG1,SB Chicago R,Stickney,5/25/2016 7:11:09 PM,5/25/2016 7:39:21 PM,:00:28:12
DS-M49,Roosevelt Rd (Roosevelt & Lumber) (W),TG1,SB Chicago R,Stickney,5/25/2016 5:52:33 PM,5/25/2016 6:23:01 PM,:00:30:28
DS-M49,Roosevelt Rd (Roosevelt & Lumber) (W),TG1,SB Chicago R,Stickney,5/12/2016 3:12:21 AM,5/12/2016 4:44:41 AM,:01:32:20
DS-M49,Roosevelt Rd (Roosevelt & Lumber) (W),TG1,SB Chicago R,Stickney,4/28/2016 1:28:37 AM,4/28/2016 1:38:33 AM,:00:09:56
DS-M51,Harrison St (W),TG1,SB Chicago R,Stickney,7/24/2016 1:51:01 AM,7/24/2016 1:54:57 AM,:00:03:56
DS-M51,Harrison St (W),TG1,SB Chicago R,Stickney,7/23/2016 11:00:29 PM,7/24/2016 1:49:41 AM,:02:49:12
DS-M51,Harrison St (W),TG1,SB Chicago R,Stickney,5/25/2016 7:11:13 PM,5/25/2016 7:34:29 PM,:00:23:16
DS-M51,Harrison St (W),TG1,SB Chicago R,Stickney,5/25/2016 5:58:41 PM,5/25/2016 6:05:17 PM,:00:06:36
DS-M51,Harrison St (W),TG1,SB Chicago R,Stickney,5/13/2016 10:55:17 PM,5/14/2016 12:28:37 AM,:01:33:20
DS-M51,Harrison St (W),TG1,SB Chicago R,Stickney,5/12/2016 3:11:13 AM,5/12/2016 4:55:01 AM,:01:43:48
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,7/24/2016 9:08:29 PM,7/24/2016 9:09:25 PM,:00:00:56
