Field_Note,Outfall_Vi,Monitor,Adj_Basin_,Runoff_Fac,Graffiti,DWM_cfs_ac,percent_ac,DWM_cfs,Location,ATLAS,Receiving,percent_ro,Insp_Date,Pipe_Size,Saturation,Elevation,Users,MWRD_cfs_a,Outfall_Ph,TG,Basin_Ac,Structural,STATUS,Shaft,Easting,MWRD,Comment,Bank_Erosi,users_acre,Bag,Connection,River_Bank,FID,on_CAWS,GPS,Control,MWRD_cfs,311_Street,NAME,Obstructio,Outfall_St,rock_acres,Pipe_Mater,Weather,Outfall_Si,CDM_cfs_ac,Owner,sand_acres,311_Add,Northing
088.pdf,088.mpg,NO,59.92955,1.47001447214,NO,0.471553682616,0,28.26,Division St.,39-3-25,North Branch Chicago River,0,-1240035328,3,Dry,-1.78,0,0.36709770055,088.jpg,0,40.768,FAIR,Active,DS-65,1168383.5949,MS-66, ,YES,0, ,Direct,E,1290,1,YES, ,22,W DIVISION ST,088,NO,Headwall,0,Cement,SUNNY,3,0.471553682616,DWM,0,1129,1908115.2934
089.pdf,N/A,NO,22.1901557607,1.21923932751,N/A,0.221100295686,0,4.90625,Division St.,39-3-25,North Branch Canal,0,-980835328,1.25,N/A,0,0,0.13519508526,089.jpg,0,18.2,N/A,Active,DS-65,1170311.02,MS-66,Could Not Locate Outfall,N/A,0, ,Direct,W,1291,1,NO,monitor?,3,W DIVISION ST,089,NO,N/A,0,N/A,SUNNY,N/A,0.221100295686,DWM,0,845,1908169.52
090.pdf,090.mpg,NO,71.8977598322,1.06516777778,NO,0.424280334505,0.268996577727,30.5048055918,Halsted St., ,North Branch Canal,0,-980835328,3,Dry,-1.22,0,0.305990062157,090.jpg,0,67.499,FAIR,Active,DS-67R,1170845.2415,MS-70, ,NO,0, ,Interceptor,N,1292,1,YES, ,22,N KINGSBURY ST,090,NO,Headwall,0,Cement,SUNNY,2.5x3.5,0.424280334505,DWM,18.157,1136,1907708.6788
091.pdf,091.mpg,NO,21.84,1.2,NO,0.375457875458,0,8.2,Halsted St.,39-3-22,North Branch Canal,0,-980835328,2,Invert wet,-0.22,0,0.320512820513,091.jpg,0,18.2,POOR,Active,DS-63,1170877.7077,MS-66, ,NO,0, ,Direct,W,1293,1,YES, ,7,N HALSTED ST,091,NO,Headwall,0,Cement,SUNNY,3,0.375457875458,DWM,0,0,1907485.061
092.pdf,N/A,MWRD,914.620575757,0.608459550097,NO,0.295505456849,0.000302692835294,270.275371083,Cortez St.,39-3-26,North Branch Chicago River,0.0496702311243,-980835328,11 X 9,Invert wet,-4.38,5,0.293017680887,092.jpg,1,1503.174,FAIR,Active,DS-64(C,1168530.731,MS-64, ,YES,0.00332629489334, ,Direct,W,1294,1,YES, ,268,N ELSTON AVE,092,NO,Headwall,74.663,Cement,CLOUDY,11x9,0.295505456849,DWM,0.455,1051,1907403.3726
093.pdf,093.mpg,NO,32.3440080367,1.53303668768,NO,1.1892465509,0,38.465,Cortez St.,39-3-26,North Branch Chicago River,0,-1240035328,3.5,Invert wet,-3.78,0,1.23670510948,093.jpg,0,21.098,FAIR,Active,DS-64(S,1168682.73,MS-64, ,YES,0, ,Direct,W,1295,1,YES, ,40,N ELSTON AVE,093,NO,Headwall,0,Cement,CLOUDY,3.5,1.1892465509,DWM,0,1033,1907184.48
094.pdf,094.mpg,NO,11.0368,1.42135222151,NO,0.560665421872,0,6.18795212812,Haines St.,39-3-26,North Branch Chicago River,0,-980835328,1.5,Dry,-2.42,0,0.362423890983,094.jpg,0,7.765,FAIR,Active,I-68A,1169943.46,MS-66, ,NO,0, ,Interceptor,E,1296,1,YES, ,4,N RIVER WALK EAST,094,YES,Open pipe,0,Metal,SUNNY,2,0.560665421872,DWM,0,1010,1906858.17
095.pdf,095.mpg,NO,21.8544,1.45783470082,NO,0.284314563342,0,6.21352419311,Halsted St.,39-3-22,North Branch Chicago River,0,-980835328,2,Dry,-0.22,0,0.320301632623,095.jpg,0,14.991,POOR,Active,DS-63,1170910.8887,MS-66, ,NO,0, ,Direct,N,1297,1,YES, ,7,N HALSTED ST,095,YES,Bridge,0,Metal,SUNNY,2,0.284314563342,DWM,0,869,1906237.4503
096.pdf,096.mpg,NO,47.342,1.35433115917,NO,0.947858935543,0,44.8735377265,Chicago Ave.,39-3-22,North Branch Chicago River,0,-894435328,3,Dry,-1.72,0,0.44358075282,096.jpg,0,34.956,FAIR,Active,I-67,1171785.9051,MS-64, ,YES,0, ,Interceptor,W,1298,1,YES, ,21,W CHICAGO AVE,096,NO,Bridge,0,Cement,SUNNY,5x4,0.947858935543,DWM,0,645,1905567.8329
097.pdf,097.mpg,NO,63.5745444903,1.10550966822,NO,0.506705667708,0.0542716538856,32.2135820152,Chicago Ave.,39-3-22,North Branch Chicago River,0,-894435328,4,Dry,-1.58,0,0.330320888153,097.jpg,0,57.507,FAIR,Active,I-66,1171960.0341,MS-70, ,NO,0,Net,Interceptor,E,1299,1,YES, ,21,W CHICAGO AVE,097,NO,Bridge,0,Cement,CLOUDY,5x4,0.506705667708,DWM,3.121,620,1905577.9841
