location,segment,date,starttime,endtime,duration
"DS-D47,50,51",16,2016-05-27,09:08,10:47,99
"DS-D39,42,46",16,2016-05-27,09:11,09:12,1
"DS-D39,42,46",16,2016-05-27,09:14,10:04,49
DS-N02,4,2016-05-27,09:26,09:45,18
"DS-D47,50,51 & DS-13A-1",16,2016-05-27,09:28,09:37,8
DS-M84,3,2016-05-27,09:34,10:23,49
DS-M79,3,2016-05-27,09:35,10:44,68
DS-M84,3,2016-05-27,09:35,10:20,45
DS-M114N,31,2016-05-27,09:35,09:54,18
DS-M104W,1,2016-05-27,09:39,10:03,23
DS-D33,14,2016-05-27,09:45,09:07,681
DS-M90 & DS-M91 (NBPS),3,2016-05-27,09:59,11:33,94
"DS-D47,50,51",16,2016-05-27,11:21,12:12,50
"DS-D19,23",14,2016-05-31,01:59,07:53,1073
DS-M83,3,2016-05-31,01:59,07:53,1073
DS-M97,2,2016-05-31,01:59,07:53,1073
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-05-31,03:50,02:34,644
DS-D34-AI,23,2016-05-31,06:30,06:35,5
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-06-01,08:40,02:35,355
DS-M10,9,2016-06-02,07:53,10:28,155
DS-M10,9,2016-06-02,07:53,10:28,155
DS-M10,9,2016-06-02,07:53,10:28,155
DS-M10,9,2016-06-02,07:53,10:28,155
DS-M21,8,2016-06-02,07:53,10:31,157
DS-M25,6,2016-06-02,07:53,10:31,158
TG-I28 & I29,6,2016-06-02,07:53,10:27,154
DS-M82,3,2016-06-02,10:58,11:11,12
DS-D16,14,2016-06-15,02:29,02:58,29
DS-M47,6,2016-06-22,05:00,08:46,226
DS-D16,14,2016-06-22,08:26,09:18,52
DS-N19,4,2016-06-22,08:27,09:58,91
DS-N13R,4,2016-06-22,08:30,11:07,157
DS-N07,4,2016-06-22,08:32,09:29,56
DS-D05,13,2016-06-22,08:33,09:09,35
DS-M104E,1,2016-06-22,08:34,08:39,4
DS-N02,4,2016-06-22,08:40,08:42,1
DS-D12I,14,2016-06-22,08:41,08:43,2
DS-M114N,31,2016-06-22,08:42,10:07,85
DS-N10B,4,2016-06-22,08:42,09:09,27
TG-M94,2,2016-06-22,08:44,09:14,29
"DS-D21,25",14,2016-06-22,08:47,08:51,3
TG-I28 & I29,6,2016-06-22,08:49,09:10,21
DS-N08,4,2016-06-22,08:51,08:55,4
DS-D11,14,2016-06-22,08:55,09:48,53
DS-M47,6,2016-06-22,08:59,09:58,59
DS-D34-AI,23,2016-06-22,09:00,09:45,45
DS-M25,6,2016-06-22,09:07,10:39,91
DS-M08,9,2016-06-22,10:35,10:36,1
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-06-22,10:40,03:05,265
DS-M90 & DS-M91 (NBPS),3,2016-06-22,10:45,11:59,74
DS-M90 & DS-M91 (NBPS),3,2016-06-23,12:00,01:02,62
TG-I28 & I29,6,2016-07-06,03:02,03:04,1
TG-I28 & I29,6,2016-07-06,03:19,05:10,110
DS-M30,7,2016-07-06,03:24,05:18,114
DS-M47,6,2016-07-06,03:32,04:04,32
DS-M25,6,2016-07-06,03:35,04:55,80
DS-M13,8,2016-07-06,03:41,05:19,97
DS-M84,3,2016-07-06,04:16,09:38,322
DS-M84,3,2016-07-06,04:17,09:39,322
DS-M30,7,2016-07-06,06:15,06:50,35
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-07-06,08:28,12:12,224
DS-N19,4,2016-07-06,08:55,10:02,66
DS-M84,3,2016-07-06,09:54,10:09,15
DS-N07,4,2016-07-07,06:48,07:27,39
DS-N10B,4,2016-07-07,07:14,07:45,30
DS-N02,4,2016-07-07,07:14,08:03,48
DS-N08,4,2016-07-07,07:17,08:27,70
