Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-M19,California Ave (S),TG2,CSSC Upper (SWRP),Stickney,8/12/2016 11:41:25 PM,8/13/2016 12:35:13 AM,:00:53:48
DS-M19,California Ave (S),TG2,CSSC Upper (SWRP),Stickney,8/12/2016 10:23:49 PM,8/12/2016 11:01:13 PM,:00:37:24
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,10/1/2016 4:00:00 PM,10/1/2016 6:15:00 PM,:02:15:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,8/27/2016 7:54:00 AM,8/27/2016 12:52:00 PM,:04:58:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,8/20/2016 9:30:00 AM,8/20/2016 8:25:00 PM,:10:55:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,8/12/2016 6:35:00 PM,8/13/2016 10:40:00 AM,:16:05:00
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,10/1/2016 9:36:53 AM,10/1/2016 10:32:57 AM,:00:56:04
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,8/20/2016 8:36:25 AM,8/20/2016 10:53:11 AM,:02:16:46
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,8/19/2016 10:18:14 AM,8/19/2016 11:50:38 AM,:01:32:24
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,8/18/2016 7:00:13 AM,8/18/2016 9:28:45 AM,:02:28:32
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,8/12/2016 11:49:49 PM,8/13/2016 12:32:29 AM,:00:42:40
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,8/12/2016 7:46:21 PM,8/12/2016 10:27:41 PM,:02:41:20
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,8/12/2016 3:20:37 PM,8/12/2016 3:56:41 PM,:00:36:04
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,8/12/2016 11:14:09 AM,8/12/2016 1:47:29 PM,:02:33:20
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,8/13/2016 12:50:45 AM,8/13/2016 12:52:29 AM,:00:01:44
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,8/13/2016 12:05:45 AM,8/13/2016 12:50:09 AM,:00:44:24
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,8/13/2016 12:05:09 AM,8/13/2016 12:59:41 AM,:00:54:32
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,10/6/2016 4:41:25 PM,10/6/2016 5:50:09 PM,:01:08:44
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,9/28/2016 8:44:35 PM,9/28/2016 9:17:31 PM,:00:32:56
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,8/30/2016 7:19:37 AM,8/30/2016 8:27:13 AM,:01:07:36
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,8/20/2016 8:41:05 AM,8/20/2016 9:31:05 AM,:00:50:00
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,8/19/2016 10:19:31 AM,8/19/2016 11:19:55 AM,:01:00:24
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,8/18/2016 7:03:53 AM,8/18/2016 8:29:57 AM,:01:26:04
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,8/12/2016 8:00:17 PM,8/12/2016 8:59:33 PM,:00:59:16
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,8/12/2016 11:17:05 AM,8/12/2016 12:52:29 PM,:01:35:24
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/13/2016 1:40:17 AM,8/13/2016 1:45:05 AM,:00:04:48
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/12/2016 11:47:41 PM,8/13/2016 1:38:41 AM,:01:51:00
DS-M66,Blackhawk St (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/20/2016 9:40:14 AM,8/20/2016 10:14:49 AM,:00:34:35
DS-M66,Blackhawk St (W),TG1,NBCR Lower (NSC Confluence),Stickney,8/20/2016 9:39:41 AM,8/20/2016 10:15:33 AM,:00:35:52
DS-M66,Blackhawk St (W),TG1,NBCR Lower (NSC Confluence),Stickney,8/13/2016 1:42:05 AM,8/13/2016 1:43:45 AM,:00:01:40
DS-M66,Blackhawk St (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/13/2016 1:38:57 AM,8/13/2016 1:40:53 AM,:00:01:56
DS-M66,Blackhawk St (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/12/2016 11:52:31 PM,8/13/2016 1:38:21 AM,:01:45:50
DS-M66,Blackhawk St (W),TG1,NBCR Lower (NSC Confluence),Stickney,8/12/2016 11:51:57 PM,8/13/2016 1:41:29 AM,:01:49:32
DS-M70,North Ave (E),TG1,NBCR Lower (NSC Confluence),Stickney,8/13/2016 12:00:00 AM,8/13/2016 12:08:01 AM,:00:08:01
DS-M70,North Ave (E),TG1,NBCR Lower (NSC Confluence),Stickney,8/12/2016 11:53:45 PM,8/13/2016 12:00:00 AM,:00:06:15
DS-M73,McLean Ave (W),TG1,NBCR Lower (NSC Confluence),Stickney,8/12/2016 11:54:01 PM,8/13/2016 1:12:57 AM,:01:18:56
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/20/2016 9:34:49 AM,8/20/2016 11:56:41 AM,:02:21:52
DS-M79,Logan Blvd (W),TG3,NBCR Lower (NSC Confluence),Stickney,8/20/2016 9:32:33 AM,8/20/2016 12:10:49 PM,:02:38:16
DS-M79,Logan Blvd (W),TG3,NBCR Lower (NSC Confluence),Stickney,8/13/2016 12:24:05 AM,8/13/2016 2:03:53 AM,:01:39:48
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/12/2016 11:55:41 PM,8/13/2016 1:48:29 AM,:01:52:48
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/12/2016 10:02:05 PM,8/12/2016 10:06:37 PM,:00:04:32
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/12/2016 9:31:49 PM,8/12/2016 10:01:37 PM,:00:29:48
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,8/20/2016 10:22:49 AM,8/20/2016 10:32:05 AM,:00:09:16
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,8/20/2016 9:41:01 AM,8/20/2016 10:08:25 AM,:00:27:24
DS-M84,Roscoe St (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/20/2016 9:39:21 AM,8/20/2016 10:37:49 AM,:00:58:28
DS-M84,Roscoe St (W),TG2,NBCR Lower (NSC Confluence),Stickney,8/13/2016 12:13:25 AM,8/13/2016 1:04:13 AM,:00:50:48
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,8/13/2016 12:12:49 AM,8/13/2016 1:03:05 AM,:00:50:16
DS-M90 & DS-M91 (NBPS),North Branch P.S. (E),All,NBCR Lower (NSC Confluence),Pumping Station North Branch,8/30/2016 7:46:00 AM,8/30/2016 9:20:00 AM,:01:34:00
