STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050422 21:00,2
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050422 22:00,4
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050422 23:00,1
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050423 00:00,1
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050430 10:00,1
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050430 11:00,1
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050501 01:00,99999
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050501 02:00,99999
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050509 01:00,99999
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050520 00:00,99999
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050601 01:00,99999
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050701 00:00,99999
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050701 01:00,0
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050704 22:00,10
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050712 12:00,10
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050720 13:00,10
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050720 14:00,20
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,189,41.7372,-87.7775,20050725 08:00,20
